Sample	Contig	Mean	Trimmed Mean	Covered Bases	Variance	RPKM	TPM
aligned	UHGV-0142480	0	0	0	0	0	0
aligned	UHGV-0144897	0	0	0	0	0	0
aligned	UHGV-1721062	0	0	0	0	0	0
aligned	UHGV-1792628	0	0	0	0	0	0
aligned	UHGV-1580633	0	0	0	0	0	0
aligned	UHGV-1580692	0	0	0	0	0	0
aligned	UHGV-2168438	0	0	0	0	0	0
aligned	UHGV-1580628	0	0	0	0	0	0
aligned	UHGV-1580599	0	0	0	0	0	0
aligned	UHGV-1831603	0	0	0	0	0	0
aligned	UHGV-1770652	0	0	0	0	0	0
aligned	UHGV-1599232	0	0	0	0	0	0
aligned	UHGV-0132046	0	0	0	0	0	0
aligned	UHGV-1358904	0	0	0	0	0	0
aligned	UHGV-1876027	0.7604956	0.5862704	4416	1.6966382	0.4394996	10.23669756250456
aligned	UHGV-1766275	0	0	0	0	0	0
aligned	UHGV-2159792	0	0	0	0	0	0
aligned	UHGV-1377699	0	0	0	0	0	0
aligned	UHGV-2040850	0	0	0	0	0	0
aligned	UHGV-0191237	0.28982127	0	2475	2.3023875	0.18705595	4.356853423814755
aligned	UHGV-2123952	0	0	0	0	0	0
aligned	UHGV-0230849	0	0	0	0	0	0
aligned	UHGV-2123953	0	0	0	0	0	0
aligned	UHGV-1697423	0	0	0	0	0	0
aligned	UHGV-1599995	0	0	0	0	0	0
aligned	UHGV-0077181	0	0	0	0	0	0
aligned	UHGV-1593652	0	0	0	0	0	0
aligned	UHGV-1841525	0	0	0	0	0	0
aligned	UHGV-0141151	0	0	0	0	0	0
aligned	UHGV-1545586	0	0	0	0	0	0
aligned	UHGV-1545757	0	0	0	0	0	0
aligned	UHGV-0189762	0	0	0	0	0	0
aligned	UHGV-1557841	0	0	0	0	0	0
aligned	UHGV-0111355	0	0	0	0	0	0
aligned	UHGV-0386902	0	0	0	0	0	0
aligned	UHGV-0090974	0	0	0	0	0	0
aligned	UHGV-1928306	2.6423688	1.5343215	5089	40.08119	1.579991	36.80071313283406
aligned	UHGV-2147380	0	0	0	0	0	0
aligned	UHGV-1703226	0.18966639	0.074754775	1091	0.3815884	0.111240864	2.5909912437782623
aligned	UHGV-1649671	0	0	0	0	0	0
aligned	UHGV-1640484	0	0	0	0	0	0
aligned	UHGV-2030780	0	0	0	0	0	0
aligned	UHGV-1471039	0	0	0	0	0	0
aligned	UHGV-0107659	2.4296415	1.8944066	6919	17.504843	1.4451152	33.659209293546155
aligned	UHGV-1692292	0	0	0	0	0	0
aligned	UHGV-1443931	0	0	0	0	0	0
aligned	UHGV-1424418	0	0	0	0	0	0
aligned	UHGV-0321640	0	0	0	0	0	0
aligned	UHGV-0200418	0	0	0	0	0	0
aligned	UHGV-0200419	0	0	0	0	0	0
aligned	UHGV-1635497	0	0	0	0	0	0
aligned	UHGV-0210849	0	0	0	0	0	0
aligned	UHGV-0477606	0	0	0	0	0	0
aligned	UHGV-1733635	0	0	0	0	0	0
aligned	UHGV-0081984	0	0	0	0	0	0
aligned	UHGV-1384109	8.430459	3.9080122	4906	647.9007	4.892369	113.95160254323855
aligned	UHGV-0384927	0	0	0	0	0	0
aligned	UHGV-1578788	0	0	0	0	0	0
aligned	UHGV-0391116	0	0	41	0	0.6799715	15.83769335411489
aligned	UHGV-0391113	0	0	0	0	0	0
aligned	UHGV-1510117	0	0	0	0	0	0
aligned	UHGV-1498177	0	0	0	0	0	0
aligned	UHGV-0016458	0	0	0	0	0	0
aligned	UHGV-0016459	0	0	0	0	0	0
aligned	UHGV-0050074	0	0	0	0	0	0
aligned	UHGV-1556217	0	0	0	0	0	0
aligned	UHGV-0270043	0	0	0	0	0	0
aligned	UHGV-2007381	0	0	0	0	0	0
aligned	UHGV-0393137	0	0	0	0	0	0
aligned	UHGV-0040481	0	0	0	0	0	0
aligned	UHGV-1566136	0	0	0	0	0	0
aligned	UHGV-0305801	0	0	0	0	0	0
aligned	UHGV-0305765	0	0	0	0	0	0
aligned	UHGV-0097536	0	0	0	0	0	0
aligned	UHGV-2154470	0	0	0	0	0	0
aligned	UHGV-1479961	0	0	0	0	0	0
aligned	UHGV-1830495	0	0	0	0	0	0
aligned	UHGV-1359480	0	0	0	0	0	0
aligned	UHGV-0526985	0	0	0	0	0	0
aligned	UHGV-1830724	0	0	0	0	0	0
aligned	UHGV-0066470	0.05218413	0	178	0.38941047	0.11861591	2.762765916486387
aligned	UHGV-0305356	0	0	0	0	0	0
aligned	UHGV-0132898	0	0	0	0	0	0
aligned	UHGV-0161488	0	0	0	0	0	0
aligned	UHGV-0392567	0	0	0	0	0	0
aligned	UHGV-0392001	0	0	0	0	0	0
aligned	UHGV-1613399	0	0	0	0	0	0
aligned	UHGV-0161331	0	0	0	0	0	0
aligned	UHGV-0161446	0	0	0	0	0	0
aligned	UHGV-1487556	0	0	0	0	0	0
aligned	UHGV-1394110	0	0	0	0	0	0
aligned	UHGV-0199676	6.885985	4.338412	5443	320.71906	4.4384174	103.37840649299324
aligned	UHGV-0161817	0	0	0	0	0	0
aligned	UHGV-1476913	0	0	0	0	0	0
aligned	UHGV-1304528	0	0	0	0	0	0
aligned	UHGV-0110079	0	0	0	0	0	0
aligned	UHGV-0086922	0	0	0	0	0	0
aligned	UHGV-1651096	0	0	0	0	0	0
aligned	UHGV-0197194	0	0	0	0	0	0
aligned	UHGV-1407866	0	0	0	0	0	0
aligned	UHGV-1651093	0	0	0	0	0	0
aligned	UHGV-1470886	0	0	0	0	0	0
aligned	UHGV-0043280	0.32255638	0.17050306	2255	0.6773841	0.19313547	4.49845674665994
aligned	UHGV-1558437	0	0	0	0	0	0
aligned	UHGV-0131839	0	0	0	0	0	0
aligned	UHGV-1678450	0	0	0	0	0	0
aligned	UHGV-0250957	0	0	0	0	0	0
aligned	UHGV-0136009	0	0	0	0	0	0
aligned	UHGV-0136006	0.41097823	0.008665511	777	4.217877	0.2292712	5.340119059837889
aligned	UHGV-0083277	0	0	0	0	0	0
aligned	UHGV-0191946	0	0	0	0	0	0
aligned	UHGV-1587085	0	0	0	0	0	0
aligned	UHGV-0044320	0	0	0	0	0	0
aligned	UHGV-0185550	0	0	0	0	0	0
aligned	UHGV-1745766	0.08492688	0	843	0.26292494	0.048468534	1.1289146186754806
