Sample	Contig	Covered Fraction
aligned	ivig_1081	0
aligned	ivig_1082	0
aligned	ivig_1084	0
aligned	ivig_1090	0
aligned	ivig_1095	0
aligned	ivig_1096	0.09304795
aligned	ivig_1097	0.20344022
aligned	ivig_1098	0
aligned	ivig_1103	0.029668473
aligned	ivig_1108	0
aligned	ivig_1112	0
aligned	ivig_1113	0
aligned	ivig_1115	0
aligned	ivig_1116	0.17619978
aligned	ivig_1120	0
aligned	ivig_1121	0
aligned	ivig_1122	0
aligned	ivig_1125	0
aligned	ivig_1126	0
aligned	ivig_1128	0
aligned	ivig_1129	0
aligned	ivig_1131	0.023452008
aligned	ivig_1132	0.010090425
aligned	ivig_1133	0
aligned	ivig_1134	0
aligned	ivig_1135	0
aligned	ivig_1138	0
aligned	ivig_1140	0
aligned	ivig_1145	0
aligned	ivig_1146	0
aligned	ivig_1149	0
aligned	ivig_1151	0
aligned	ivig_1152	0
aligned	ivig_1153	0
aligned	ivig_1158	0
aligned	ivig_1161	0
aligned	ivig_1163	0.36633703
aligned	ivig_1164	0
aligned	ivig_1165	0.27109817
aligned	ivig_1166	0.79995275
aligned	ivig_1167	0
aligned	ivig_1169	0
aligned	ivig_1170	0
aligned	ivig_1171	0
aligned	ivig_1173	0
aligned	ivig_1176	0
aligned	ivig_1179	0
aligned	ivig_1183	0.010204967
aligned	ivig_1184	0
aligned	ivig_1185	0
aligned	ivig_1189	0
aligned	ivig_1191	0
aligned	ivig_1194	0
aligned	ivig_1198	0
aligned	ivig_1202	0
aligned	ivig_1204	0
aligned	ivig_1207	0
aligned	ivig_1210	0.013202934
aligned	ivig_1211	0
aligned	ivig_1212	0
aligned	ivig_1214	0.18265621
aligned	ivig_1215	0
aligned	ivig_1216	0
aligned	ivig_1218	0
aligned	ivig_1219	0
aligned	ivig_1220	0
aligned	ivig_1223	0
aligned	ivig_1224	0
aligned	ivig_1225	0.14384058
aligned	ivig_1226	0
aligned	ivig_1228	0
aligned	ivig_1232	0.032134365
aligned	ivig_1233	0
aligned	ivig_1234	0.0508658
aligned	ivig_1235	0
aligned	ivig_1236	0.10120446
aligned	ivig_1237	0.042883664
aligned	ivig_1239	0
aligned	ivig_1240	0.01635514
aligned	ivig_1241	0
aligned	ivig_1242	0
aligned	ivig_1243	0
aligned	ivig_1248	0
aligned	ivig_1250	0
aligned	ivig_1254	0
aligned	ivig_1255	0
aligned	ivig_1258	0
aligned	ivig_1259	0.26017088
aligned	ivig_1261	0.18228646
aligned	ivig_1262	0.044799004
aligned	ivig_1263	0
aligned	ivig_1267	0
aligned	ivig_1268	0
aligned	ivig_1271	0
aligned	ivig_1272	0
aligned	ivig_1276	0.010699133
aligned	ivig_1277	0.15252379
aligned	ivig_1278	0
aligned	ivig_1286	0
aligned	ivig_1287	0
aligned	ivig_1288	0
aligned	ivig_1289	0
aligned	ivig_1291	0
aligned	ivig_1292	0
aligned	ivig_1294	0
aligned	ivig_1295	0.0626927
aligned	ivig_1298	0
aligned	ivig_1304	0.08911367
aligned	ivig_1305	0
aligned	ivig_1307	0
aligned	ivig_1309	0
aligned	ivig_1310	0
aligned	ivig_1311	0
aligned	ivig_1312	0
aligned	ivig_1313	0
aligned	ivig_1319	0
aligned	ivig_1320	0
aligned	ivig_1321	0
aligned	ivig_1323	0.6568615
aligned	ivig_1324	0.016880376
aligned	ivig_1325	0.10599781
aligned	ivig_1332	0.18158759
aligned	ivig_1336	0
aligned	ivig_1337	0
aligned	ivig_1340	0
aligned	ivig_1343	0
aligned	ivig_1345	0
aligned	ivig_1346	0.18871543
aligned	ivig_1347	0.54150784
aligned	ivig_1349	0
aligned	ivig_1350	0.042370997
aligned	ivig_1353	0
aligned	ivig_1354	0
aligned	ivig_1355	0
aligned	ivig_1358	0
aligned	ivig_1359	0.088413954
aligned	ivig_1367	0.01491768
aligned	ivig_1370	0
aligned	ivig_1374	0
aligned	ivig_1376	0
aligned	ivig_1379	0
aligned	ivig_1380	0
aligned	ivig_1383	0
aligned	ivig_1386	0.10164582
aligned	ivig_1387	0
aligned	ivig_1388	0
aligned	ivig_1389	0
aligned	ivig_1394	0
aligned	ivig_1396	0
aligned	ivig_1398	0
aligned	ivig_1400	0
aligned	ivig_1401	0
aligned	ivig_1402	0
aligned	ivig_1403	0.07390689
aligned	ivig_1404	0
aligned	ivig_1405	0
aligned	ivig_1408	0.016789753
aligned	ivig_1410	0
aligned	ivig_1412	0
aligned	ivig_1414	0
aligned	ivig_1415	0
aligned	ivig_1417	0
aligned	ivig_1420	0
aligned	ivig_1421	0.18838269
aligned	ivig_1425	0
aligned	ivig_1427	0.05556439
aligned	ivig_1428	0
aligned	ivig_1429	0.017510824
aligned	ivig_1432	0
aligned	ivig_1433	0
aligned	ivig_1434	0
aligned	ivig_1435	0
aligned	ivig_1438	0
aligned	ivig_1439	0.12731089
aligned	ivig_1440	0.28366408
aligned	ivig_1441	0.10150656
aligned	ivig_1444	0.3957686
aligned	ivig_1446	0
aligned	ivig_1447	0
aligned	ivig_1449	0
aligned	ivig_1450	0
aligned	ivig_1451	0
aligned	ivig_1453	0.01487524
aligned	ivig_1454	0
aligned	ivig_1455	0
aligned	ivig_1458	0
aligned	ivig_1459	0
aligned	ivig_1467	0
aligned	ivig_1468	0
aligned	ivig_1469	0
aligned	ivig_1471	0
aligned	ivig_1472	0.013152164
aligned	ivig_1477	0.012914217
aligned	ivig_1480	0
aligned	ivig_1482	0
aligned	ivig_1485	0
aligned	ivig_1486	0
aligned	ivig_1488	0.015010935
aligned	ivig_1489	0
aligned	ivig_1491	0
aligned	ivig_1492	0
aligned	ivig_1493	0.015432896
aligned	ivig_1496	0
aligned	ivig_1499	0
aligned	ivig_1501	0.029639095
aligned	ivig_1504	0
aligned	ivig_1505	0
aligned	ivig_1510	0
aligned	ivig_1512	0
aligned	ivig_1513	0.16650255
aligned	ivig_1514	0
aligned	ivig_1517	0
aligned	ivig_1518	0
