Contig	F6_S22-untreated_virome_Genomad_mapped Mean	F6_S22-untreated_virome_Genomad_mapped Trimmed Mean	F6_S22-untreated_virome_Genomad_mapped Covered Bases	F6_S22-untreated_virome_Genomad_mapped Variance	F6_S22-untreated_virome_Genomad_mapped RPKM	F6_S22-untreated_virome_Genomad_mapped TPM	F7_S23-untreated_virome_Genomad_mapped Mean	F7_S23-untreated_virome_Genomad_mapped Trimmed Mean	F7_S23-untreated_virome_Genomad_mapped Covered Bases	F7_S23-untreated_virome_Genomad_mapped Variance	F7_S23-untreated_virome_Genomad_mapped RPKM	F7_S23-untreated_virome_Genomad_mapped TPM	F8_S24-untreated_virome_Genomad_mapped Mean	F8_S24-untreated_virome_Genomad_mapped Trimmed Mean	F8_S24-untreated_virome_Genomad_mapped Covered Bases	F8_S24-untreated_virome_Genomad_mapped Variance	F8_S24-untreated_virome_Genomad_mapped RPKM	F8_S24-untreated_virome_Genomad_mapped TPM
F7_S23_contig_10066	6.740235	6.6357617	17356	11.425864	0.47468904	17.951492	7.66495	7.557449	17431	10.135304	0.47059807	17.814137	7.142758	7.064039	17305	9.955024	0.45105407	16.969957
F7_S23_contig_10558	2.360122	2.3672316	903	1.7948234	0.16767102	6.340883	6.7039676	6.7096047	1133	8.819609	0.39223832	14.847888	6.0956254	6.0915256	1119	4.956224	0.38692328	14.557178
F7_S23_contig_10566	7.387382	7.302688	13829	9.280908	0.52353865	19.798874	8.004825	7.8992124	13829	11.148829	0.49141	18.601946	8.071935	7.9031105	13738	13.60208	0.5127186	19.289946
F7_S23_contig_10692	3.9592419	3.6433182	9859	10.207292	0.27843982	10.529864	4.795353	4.620675	10161	10.125638	0.29554746	11.18773	4.9290543	4.7986455	10470	8.211442	0.31495553	11.849538
F7_S23_contig_10913	17.356016	17.154615	10936	35.89716	1.2265986	46.386757	21.04237	21.024618	10936	47.446964	1.2986901	49.160942	20.90942	20.481562	10918	57.94089	1.3254632	49.867725
F7_S23_contig_11001	1.6927176	1.6311637	997	1.7277157	0.107524656	4.0663004	3.474245	3.4871795	1276	1.6326693	0.20316368	7.690607	0	0	0	0	0	0
F7_S23_contig_11164	5.4489136	5.218792	12510	10.077294	0.38826713	14.6832485	6.7772393	6.6708245	12531	8.6631365	0.41670823	15.774175	6.3653984	6.2928295	12321	9.216069	0.40839976	15.365184
F7_S23_contig_11442	4.14546	4.0823765	12366	5.14577	0.29538253	11.170597	4.7716336	4.6906495	12463	6.459914	0.29377037	11.120459	4.855013	4.5634913	12634	11.183142	0.3105619	11.684233
F7_S23_contig_11490	5.938053	5.6921396	2054	12.438856	0.4300835	16.264627	7.1337266	7.0818777	2184	10.094257	0.44087896	16.689138	9.67355	9.533297	2165	22.259346	0.6196303	23.312271
F7_S23_contig_11722	6.6213765	5.74974	10391	72.38305	0.52166384	19.727968	6.824949	6.0610847	10775	62.375977	0.46616733	17.646418	7.39265	6.633181	10421	68.33276	0.5202704	19.57407
F7_S23_contig_11858	57.776306	56.775574	40739	217.22414	4.0758944	154.13962	68.12059	67.391235	40704	197.48923	4.216654	159.61827	66.10369	65.439026	40704	187.22641	4.202119	158.09587
F7_S23_contig_11960	5.7948	5.6800904	16294	11.28665	0.41235706	15.594265	7.253969	7.042202	16534	20.003262	0.4546491	17.210405	7.022467	6.95001	16736	12.070495	0.44818187	16.861902
F7_S23_contig_12046	6.3380294	6.1326146	11959	14.38138	0.45630664	17.256323	6.7470894	6.56851	11777	15.123407	0.4218908	15.970362	6.662055	6.5943766	11280	14.766573	0.4231537	15.920256
F7_S23_contig_12396	12.794103	12.11745	42195	44.5132	0.940853	35.580616	13.166064	12.51078	42200	42.2819	0.84576684	32.01585	13.514008	12.863737	42200	44.693775	0.89722854	33.75632
F7_S23_contig_12421	4.469148	4.4164305	2037	6.166522	0.32996747	12.478505	6.8771033	6.6311617	2111	15.459889	0.4210384	15.93809	5.336563	5.149575	2086	11.928504	0.3837317	14.43709
F7_S23_contig_12434	24.272053	23.56915	13844	73.19238	1.7109597	64.704025	28.559254	28.162985	13878	61.787006	1.7611018	66.6652	27.094398	26.812494	13855	49.267044	1.7125182	64.42989
F7_S23_contig_12746	47.183086	39.484226	34598	3542.7642	3.3469577	126.57323	51.66297	42.69062	34598	4863.6377	3.2120147	121.58843	52.942524	44.165882	34598	4343.28	3.3921916	127.62401
F7_S23_contig_13082	6.721005	6.681818	3254	8.100674	0.4962372	18.766394	6.9014177	6.7587686	3254	8.992535	0.41825244	15.832635	6.9658504	6.6567645	3254	15.248592	0.4568819	17.18921
F7_S23_contig_13307	175.13663	173.59456	21381	998.4434	12.321509	465.9672	202.56033	200.07483	21382	1413.2603	12.516803	473.8141	196.26225	193.7898	21381	1242.2349	12.474869	469.34064
F7_S23_contig_13340	8.935817	8.468119	13283	48.80754	0.62966424	23.81225	10.152877	9.786845	13365	47.25895	0.62625265	23.706322	8.989064	8.48672	13308	41.479362	0.57355374	21.57874
F7_S23_contig_13583	7.331173	7.2870293	15069	7.871337	0.51949364	19.645884	7.911393	7.7988715	15115	11.008186	0.4863524	18.410511	7.520281	7.4462843	15103	11.020654	0.4804451	18.075731
F7_S23_contig_13920	17.134027	16.367517	12252	82.43044	1.2326736	46.616474	19.756899	19.36256	12252	51.51465	1.2460985	47.170113	20.895306	20.141388	12252	84.715996	1.3604412	51.18373
F7_S23_contig_14038	68.829506	67.481415	28544	879.4349	5.1057887	193.08766	76.69008	74.911255	28544	1146.6947	4.997051	189.15953	77.98426	76.28612	28544	1121.3386	5.198746	195.5919
F7_S23_contig_14063	4.8621526	4.734339	11125	6.740619	0.34084296	12.889789	8.0142975	7.643021	11271	21.662111	0.4854715	18.377163	7.2502475	7.0136876	11271	13.644113	0.4616652	17.369173
F7_S23_contig_14066	3.808921	3.7322624	3387	4.5863295	0.27693492	10.47295	4.939421	4.865462	3468	4.428949	0.3070135	11.621766	4.6054854	4.5237617	3461	4.8714437	0.3050288	11.476065
