Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP4_S29_contig_3076	6.6296005	6.658558	1267	9.916775	0.36011386	1.9983591	0	0	0	0	0	0	0	0	0	0	0	0
GP4_S29_contig_3095	284.75656	285.1949	13223	11996.099	16.988497	94.27336	235.99664	236.01582	13275	8438.403	14.67939	72.628555	298.84326	299.3121	13223	13024.81	18.752247	99.32896
GP4_S29_contig_3177	189.25621	184.49557	49679	7845.4766	11.425284	63.401726	140.3659	137.02124	49679	4061.926	8.831863	43.697006	162.75786	159.88893	49679	5069.3096	10.344481	54.79375
GP4_S29_contig_3217	2.2362094	2.1428368	6102	3.4610445	0.13534027	0.7510359	7.1904335	6.996001	7927	12.786904	0.45051917	2.2290118	0	0	0	0	0	0
GP4_S29_contig_3251	20.036053	18.932764	10935	117.93299	1.2600248	6.992188	17.142262	16.508444	10897	54.04047	1.1193492	5.538153	22.048008	21.38056	10940	83.23693	1.4497675	7.679284
GP4_S29_contig_3290	12.012758	11.405997	12212	70.51873	0.71456635	3.9653032	10.513045	10.062062	12020	55.916294	0.6583279	3.2571783	10.819988	10.221899	11860	70.50391	0.6786832	3.5949235
GP4_S29_contig_3415	13.502731	12.701087	14813	100.7641	0.8313001	4.613086	12.783976	11.766205	14869	104.275665	0.8163774	4.0391526	14.27369	13.753765	14769	88.83065	0.9214649	4.8809147
GP4_S29_contig_3423	16.453936	16.348562	11732	52.32018	1.0129497	5.6211033	14.203441	14.110867	11775	34.961964	0.90907836	4.4978046	15.208172	15.193635	11775	36.27428	0.9801937	5.191997
GP4_S29_contig_3649	1710.301	1499.2042	125472	2439450	103.07004	571.96075	1331.0497	1172.5583	125472	1383465.3	83.59674	413.6077	1401.6613	1218.6973	125472	1770427.1	88.894745	470.86722
GP4_S29_contig_3931	0	0	0	0	0	0	6.494481	6.397059	1056	9.436986	0.3648871	1.8053342	1.8454746	1.7659314	0	2.6213994	0	0
GP4_S29_contig_3941	38.43957	38.11108	22833	296.4559	2.3052442	12.792357	30.010529	29.87425	22945	163.68492	1.8763366	9.283458	33.296555	33.294586	22850	230.06291	2.0985343	11.115741
GP4_S29_contig_3945	4.6244493	4.6100245	0	8.841166	0	0	3.0165198	2.9511003	935	5.076904	0.17765722	0.8789866	4.2004404	4.190709	864	6.332436	0.23325282	1.2355182
GP4_S29_contig_448|provirus_221_53012	66.788536	64.37583	52792	789.7142	4.041358	22.426485	44.814465	43.628582	52792	328.82596	2.8287482	13.99567	53.70415	51.85582	52792	497.55847	3.4191103	18.110706
GP4_S29_contig_864|provirus_16296_61692	67.52408	66.168724	45397	1356.9087	4.084442	22.66556	56.073196	54.97714	45397	927.3916	3.5418975	17.524076	61.30137	59.81023	45397	1107.2151	3.901011	20.663301
GP4_S29_contig_4216|provirus_1_51411	53.274986	53.184566	51352	258.31573	3.2248878	17.895699	43.76286	43.297302	51411	228.68123	2.7619653	13.665242	50.52568	50.22545	51275	274.7407	3.21039	17.005144
GP5_S30_contig_262	12.599218	11.9768505	13896	73.45853	0.75424737	4.1855035	10.992259	10.54031	13925	55.604263	0.6900749	3.4142523	16.56037	15.810787	13973	127.89924	1.0393002	5.5050735
GP5_S30_contig_323	108091.875	102764.33	1177	13647309000	5769.5356	32016.557	98046.07	93194.87	1162	11198342000	5455.2046	26990.46	72899.375	69275.05	1208	6162904600	4092.7559	21678.945
GP5_S30_contig_363	9.598146	8.851737	4465	87.26268	0.6178583	3.428645	10.495712	9.928185	4465	63.600525	0.69459397	3.4366097	12.269988	11.457658	4465	110.291725	0.8226759	4.357639
GP5_S30_contig_394	253116.92	253307.83	2743	19697371000	14595.49	80993.94	231732.45	231852.4	2743	16536484000	13924.371	68892.945	171223.11	171306.53	2743	9048553000	10386.505	55016.344
GP5_S30_contig_435	137278.05	136570.61	1337	14264400000	7912.282	43907.195	164156.19	163264.5	1337	20334684000	9859.162	48779.723	171625.48	170659.2	1337	21957446000	10402.285	55099.934
