Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_14139	264.27658	251.65193	19855	8553.347	346.97424	9687.438	227.4099	216.61742	19855	6206.837	345.95728	9644.9	202.44614	190.52557	19855	7160.8413	310.86353	8648.251
M2_S26_contig_16624	11.073818	10.944643	15344	16.229958	13.783713	384.838	9.66969	9.562769	15363	14.316543	13.895231	387.38354	8.774404	8.588257	15363	13.405584	12.827024	356.8489
M2_S26_contig_18885	13.947494	13.462485	10263	53.6261	18.958431	529.3148	13.989717	13.3820715	10263	52.826244	22.13599	617.1267	16.909523	16.28573	10263	79.62621	27.15381	755.4214
M2_S26_contig_21429	10.63019	10.242332	13296	23.059267	13.754439	384.02063	9.262649	8.814805	13373	22.591656	13.945201	388.77658	9.077592	8.609865	13296	19.39301	13.740338	382.25745
M2_S26_contig_21889	36.28421	35.54338	33550	135.5968	45.9767	1283.6586	30.821266	30.251324	33921	94.1833	45.25219	1261.5807	27.805513	26.95894	33921	101.75345	41.0134	1140.9966
M2_S26_contig_22938	5.30709	5.1239586	20761	10.045551	6.8553753	191.4004	4.8987756	4.6806393	20466	10.257657	7.0648956	196.96133	4.86959	4.618844	20296	10.774696	7.064552	196.53653
M2_S26_contig_25073	58.138153	46.78225	43189	37853.215	91.87433	2565.1084	51.042892	40.423447	43189	34620.188	94.09868	2623.3665	45.45538	35.778404	43189	28729.701	84.50477	2350.9302
M2_S26_contig_25404	81.50522	59.036476	28386	30019.713	102.53141	2862.6526	75.517166	54.531216	28527	26132.354	109.49525	3052.6047	80.07628	59.60312	28697	25571.04	116.51108	3241.3489
M2_S26_contig_25941	12.557294	12.455158	11844	18.674858	15.679684	437.77283	9.908842	9.65438	11841	18.822271	14.330752	399.5253	10.234821	9.362056	11844	42.06475	15.127215	420.84045
M2_S26_contig_27732	16.029293	15.486307	19097	73.9081	21.629751	603.8975	14.867103	14.387556	19097	61.980324	23.097311	643.9273	14.692036	14.069607	19097	62.631268	22.923449	637.7325
M2_S26_contig_28282	7.983262	7.858091	15114	16.70807	10.297088	287.49216	6.6312437	6.4171953	15385	11.943568	9.830149	274.05365	5.6570396	5.4847956	14973	10.591246	8.510752	236.76984
M2_S26_contig_30408	5.8826833	5.7292967	20121	11.207087	7.705648	215.1398	5.0675154	4.967735	20671	6.277083	7.4027357	206.38005	6.080486	5.914175	20293	12.352993	8.808048	245.04054
M2_S26_contig_30637	32.833782	20.42963	12441	36813.742	92.81116	2591.2656	25.072655	14.067974	12441	28499.098	88.74992	2474.2483	31.013994	19.756937	12441	29860.078	101.861664	2833.8003
M2_S26_contig_32133	4.509773	4.397298	13277	7.177745	6.7003655	187.07257	3.1768496	3.1137204	13057	3.7850542	4.5971107	128.16237	3.524106	3.3898182	13257	5.0925555	5.0791116	141.30125
